                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.4182,                 1.8858,                 1.7672,                0.76421,                0.56667,                0.60887,                0.36038,                 1.4199,                 1.7314,                 1.7154,              0.0075631,              0.0075631,              0.0075631
                     35,                 1.4001,                 1.8576,                 1.7462,                0.79284,                0.53333,                0.60925,                0.35936,                 1.3959,                 1.7347,                 1.7055,              0.0074869,              0.0074869,              0.0074869
                     36,                 1.3953,                 1.8548,                 1.7498,                0.79523,                 0.5531,                0.62484,                0.35577,                 1.3916,                 1.7772,                 1.6568,              0.0074108,              0.0074108,              0.0074108
                     37,                 1.3892,                 1.8374,                 1.7521,                0.83011,                0.57745,                0.63339,                0.37409,                 1.3847,                 1.7155,                 1.6907,              0.0073346,              0.0073346,              0.0073346
                     38,                 1.3822,                 1.8417,                 1.7397,                 0.8153,                 0.5618,                0.63907,                0.37098,                 1.3875,                 1.5185,                 1.6895,              0.0072585,              0.0072585,              0.0072585
                     39,                 1.3932,                 1.8282,                   1.75,                0.81195,                0.56261,                0.63703,                0.36909,                 1.4009,                 1.7018,                 1.6965,              0.0071823,              0.0071823,              0.0071823
                     40,                  1.366,                 1.8029,                 1.7279,                0.76837,                0.58302,                0.63954,                 0.3841,                 1.3827,                 1.6283,                 1.6587,              0.0071062,              0.0071062,              0.0071062
                     41,                  1.376,                 1.7874,                  1.728,                0.84493,                0.56061,                0.64409,                0.37495,                 1.4027,                 1.6544,                 1.6739,                0.00703,                0.00703,                0.00703
                     42,                  1.359,                 1.7912,                 1.7219,                0.78761,                0.57312,                0.63517,                0.38467,                 1.3379,                 1.5935,                 1.6699,              0.0069538,              0.0069538,              0.0069538
                     43,                 1.3663,                 1.8023,                 1.7277,                0.81932,                0.59697,                0.65745,                0.38092,                 1.3732,                 1.5431,                 1.6769,              0.0068777,              0.0068777,              0.0068777
                     44,                 1.3535,                 1.7862,                  1.712,                0.81955,                0.58485,                0.64989,                0.37137,                  1.406,                 1.6991,                 1.7259,              0.0068015,              0.0068015,              0.0068015
                     45,                 1.3405,                 1.7526,                 1.7136,                0.78121,                0.59394,                0.64458,                0.38756,                 1.4051,                 1.4924,                 1.6724,              0.0067254,              0.0067254,              0.0067254
                     46,                 1.3527,                 1.7652,                 1.7202,                0.80292,                0.59394,                0.65951,                0.38907,                 1.3495,                 1.4177,                  1.653,              0.0066492,              0.0066492,              0.0066492
                     47,                 1.3397,                 1.7459,                 1.7038,                0.83014,                    0.6,                0.65348,                0.38734,                 1.3402,                 1.5021,                  1.621,              0.0065731,              0.0065731,              0.0065731
